PERIMETRE_SUPERIOR,APB_ID,NUMERO_PLANTES,US_EDIFICACIO,TIPUS_EDIFICACIO,LIT_DENOMINACIO,DENOMINACIO_TEXT,SEQENTITAT,SW_URN,DENOMINACIO_ANG,PUNT_BASE_ANG
"POLYGON ((2.180030388 41.372000272,2.180044699 41.371993762,2.180052858 41.372003927,2.180052137 41.372004255,2.180053003 41.372005747,2.180053879 41.372005456,2.180060248 41.372016329,2.180046823 41.372020791,2.180030388 41.372000272))","293","1",Instal·lacions de serveis,Edificació secundària o auxiliar,,,"250494",swrefVrecordVdatasetZgisVcollectionZedificacioVkeysZ293,,-0.408
"POLYGON ((2.159495932 41.330878194,2.159497001 41.330876851,2.159544464 41.330864956,2.159546349 41.330865222,2.159554553 41.330883387,2.15955369 41.330884453,2.159504705 41.330896661,2.159503861 41.330896312,2.159495932 41.330878194))","15652394","1",Instal·lacions de serveis,Edificació secundària o auxiliar,,,"250829",swrefVrecordVdatasetZgisVcollectionZedificacioVkeysZ15652394,,-0.418
"POLYGON ((2.167871971 41.360061505,2.167659563 41.359945574,2.168069989 41.359795771,2.168169011 41.359953128,2.167871971 41.360061505))","222","3",Instal·lacions de serveis,Edifici principal,,,"250467",swrefVrecordVdatasetZgisVcollectionZedificacioVkeysZ222,,-0.414
"POLYGON ((2.187280026 41.370623567,2.18752439 41.370600421,2.187575047 41.370914539,2.18757057 41.370914949,2.187331726 41.370937395,2.187280026 41.370623567))","338","2",Tallers,Edifici principal,Centre treballs El Far Drassana,Centre treballs El Far Drassana,"250533",swrefVrecordVdatasetZgisVcollectionZedificacioVkeysZ338,-80.6,-0.404
"POLYGON ((2.184623799 41.382491048,2.184547891 41.382401967,2.184494949 41.382427533,2.1844003 41.382316431,2.184453242 41.382290864,2.184379339 41.382204048,2.184345039 41.382163812,2.184349882 41.382149524,2.184396687 41.382126887,2.184415909 41.382129545,2.184450209 41.382169781,2.184668592 41.382064318,2.184769251 41.382182579,2.184785495 41.382174677,2.18483052 41.3822276,2.184814397 41.382235413,2.184913053 41.382351317,2.184694669 41.382456781,2.184727201 41.382495023,2.184722475 41.382509492,2.184675789 41.38253213,2.18465633 41.38252929,2.184623799 41.382491048))","306","3",Oficines,Edifici principal,FACULTAT DE NAUTICA NT1,FACULTAT DE NAUTICA NT1,"250506",swrefVrecordVdatasetZgisVcollectionZedificacioVkeysZ306,-49.6,-0.406
"POLYGON ((2.155194721 41.328386029,2.155014665 41.328386753,2.155014038 41.328350195,2.155194558 41.328349574,2.155194721 41.328386029))","15664854","1",Oficines,No classificat,,,"250830",swrefVrecordVdatasetZgisVcollectionZedificacioVkeysZ15664854,,-0.42
"POLYGON ((2.147182011 41.317367505,2.147161055 41.317379456,2.147132217 41.317350725,2.147153185 41.317338774,2.147182011 41.317367505))","74640413","1",Seguretat,Construccio Modular,Garita Control,Garita Control,"863661",swrefVrecordVdatasetZgisVcollectionZedificacioVkeysZ74640413,,-0.424
"POLYGON ((2.156144255 41.328660731,2.156120213 41.328606005,2.156099216 41.328558841,2.156162373 41.328543774,2.156180777 41.328539081,2.156270811 41.328516474,2.156289476 41.328511891,2.156439781 41.328473826,2.156468084 41.328537294,2.156484745 41.328576023,2.156144255 41.328660731))","15665796","2",Oficines,Edifici principal,Camiones Truck Center,Camiones Truck Center,"250831",swrefVrecordVdatasetZgisVcollectionZedificacioVkeysZ15665796,,-0.42
"POLYGON ((2.157354538 41.329576199,2.156939145 41.328627216,2.157282442 41.328541571,2.157698909 41.329490083,2.157354538 41.329576199))","15666587","1",Tallers,Construccio Modular,,,"250832",swrefVrecordVdatasetZgisVcollectionZedificacioVkeysZ15666587,,-0.419
"POLYGON ((2.185239379 41.381367842,2.185005355 41.381088033,2.184972395 41.381103383,2.184924556 41.381045936,2.184956677 41.381030761,2.184860992 41.380916589,2.185123864 41.380791533,2.185813581 41.380463493,2.18607645 41.380338435,2.186456556 41.380786543,2.185895922 41.381053618,2.185590339 41.380690706,2.185492399 41.380738113,2.185800034 41.381099509,2.185543756 41.381223262,2.185541752 41.381220906,2.185495422 41.381243818,2.185496601 41.381245177,2.185239379 41.381367842))","307","4",Oficines,Edifici principal,Palau de Mar,Palau de Mar,"250507",swrefVrecordVdatasetZgisVcollectionZedificacioVkeysZ307,,-0.405
"POLYGON ((2.156921393 41.345756473,2.157004817 41.345673583,2.157114099 41.345735995,2.157030675 41.345818885,2.156921393 41.345756473))","164","1",Instal·lacions de serveis,Edifici principal,ET-3771,ET-3771,"250428",swrefVrecordVdatasetZgisVcollectionZedificacioVkeysZ164,,-0.419
"POLYGON ((2.153451748 41.333089677,2.15334853 41.332920657,2.15350999 41.332864645,2.153613572 41.333033218,2.153451748 41.333089677))","428",,Magatzem,No classificat,,,"250565",swrefVrecordVdatasetZgisVcollectionZedificacioVkeysZ428,,-0.421
"POLYGON ((2.151999973 41.331947373,2.15198381 41.331922032,2.152015747 41.331910468,2.152031909 41.331935898,2.151999973 41.331947373))","427",,Instal·lacions de serveis,No classificat,,,"250564",swrefVrecordVdatasetZgisVcollectionZedificacioVkeysZ427,,-0.422
"POLYGON ((2.173860387 41.370363056,2.173805641 41.370087302,2.173898309 41.370077968,2.174008989 41.370337009,2.173977899 41.370346514,2.17392511 41.370350999,2.173925406 41.370355956,2.173860387 41.370363056))","286","3",Vivendes,Edifici principal,Stella Maris,Stella Maris,"250488",swrefVrecordVdatasetZgisVcollectionZedificacioVkeysZ286,-66.9,-0.411
"POLYGON ((2.186853471 41.37510901,2.186866481 41.375091807,2.186888011 41.375100967,2.186874882 41.375118168,2.186853471 41.37510901))","555",,Instal·lacions de serveis,Construccio Modular,,,"250609",swrefVrecordVdatasetZgisVcollectionZedificacioVkeysZ555,,-0.405
